,naf_distance,naf_velocity
175,-166.10699999999994,-19.2185
176,-165.1169999999999,-19.9818
177,-164.12699999999987,-19.1297
178,-163.12600000000026,-17.8243
179,-162.1360000000002,-17.1828
180,-161.14600000000019,-20.7123
181,-160.15600000000012,-20.0386
182,-159.1660000000001,-19.3909
183,-158.16500000000048,-20.7707
184,-157.17500000000044,-21.1148
185,-156.1850000000004,-21.4583
186,-155.19500000000036,-20.6431
187,-154.20500000000033,-18.9682
188,-153.20399999999992,-19.6482
189,-152.21399999999988,-20.8713
190,-151.22399999999985,-21.405
191,-150.2339999999998,-24.3169
192,-149.24399999999977,-23.5061
193,-148.24300000000017,-22.4206
194,-147.2530000000001,-21.2021
195,-146.2630000000001,-23.1808
196,-145.27300000000002,-23.9103
197,-144.28300000000002,-25.6437
198,-143.29299999999995,-24.6762
199,-142.29200000000034,-23.6033
200,-141.3020000000003,-23.5815
201,-139.32200000000023,-22.0612
202,-138.3320000000002,-19.8169
203,-137.3309999999998,-15.6081
204,-136.34099999999975,-13.2504
205,-135.3510000000005,-16.9276
206,-134.36100000000044,-19.9084
207,-133.37100000000044,-19.3271
208,-132.37,-20.4858
209,-131.38,-21.1828
210,-130.38999999999993,-21.4107
211,-129.39999999999992,-19.7128
212,-128.40999999999985,-18.7173
213,-127.40900000000025,-18.1847
214,-126.41900000000021,-18.8012
215,-125.42900000000017,-19.3303
216,-124.43900000000014,-19.0951
217,-123.4490000000001,-20.5406
218,-122.45900000000006,-21.8503
219,-121.45800000000044,-22.1503
220,-120.4680000000004,-19.7438
221,-119.47800000000036,-21.1307
222,-118.48800000000033,-20.6831
223,-117.49800000000029,-20.2277
224,-116.49699999999989,-19.7405
225,-115.50699999999985,-21.5267
226,-114.51699999999981,-23.1619
227,-113.52699999999977,-31.6484
228,-112.53700000000052,-26.0326
229,-111.53600000000012,-24.7301
230,-110.54600000000008,-21.1044
231,-109.55600000000004,-18.1646
232,-108.566,-21.3091
233,-107.57599999999996,-26.3338
234,-106.57500000000034,-25.497
235,-105.5850000000003,-20.0524
236,-104.59500000000027,-19.6226
237,-103.60500000000023,-23.381
238,-102.6150000000002,-24.0895
239,-101.61399999999979,-16.8485
240,-100.62399999999975,-16.8275
241,-99.6340000000005,-17.1485
242,-98.64400000000046,-16.3686
243,-97.65400000000042,-15.1621
244,-96.66400000000039,-13.9915
245,-95.66299999999998,-14.3145
246,-94.67299999999994,-14.0147
247,-93.68299999999991,-10.3299
248,-92.69299999999987,-11.5271
249,-91.70299999999983,-14.331
250,-90.70200000000021,-14.8235
251,-89.71200000000017,-13.8783
252,-88.72200000000014,-14.6295
253,-87.7320000000001,-13.4021
254,-86.74200000000006,-15.7825
255,-85.74100000000044,-17.2922
256,-84.7510000000004,-13.4386
257,-83.76100000000037,-14.6034
258,-82.77100000000033,-14.7015
259,-81.78100000000029,-13.926
260,-80.77999999999989,-12.6893
261,-79.78999999999985,-13.0189
262,-78.79999999999981,-14.083
263,-77.80999999999977,-13.9561
264,-76.81999999999974,-13.227
265,-75.83000000000048,-13.0741
266,-74.82900000000008,-12.871
267,-73.83900000000004,-12.4548
268,-72.849,-12.3229
269,-71.85899999999997,-10.2544
270,-70.86899999999993,-12.3957
271,-69.86800000000031,-12.2211
272,-68.87800000000027,-12.7289
273,-67.88800000000023,-12.1661
274,-66.8980000000002,-11.3683
275,-65.90800000000016,-11.4129
276,-64.90699999999975,-12.4514
277,-63.9170000000005,-13.7773
278,-62.92700000000046,-12.4463
279,-61.937000000000424,-10.9344
280,-60.947000000000386,-12.3685
281,-59.945999999999984,-11.9166
282,-58.955999999999946,-10.1023
283,-57.96599999999991,-9.482
284,-56.97599999999987,-8.6577
285,-55.985999999999834,-7.1885
286,-54.98500000000021,-5.4198
287,-53.995000000000175,-4.9371
288,-53.00500000000014,-5.4051
289,-52.0150000000001,-5.1208
